"individual.local.identifier","timestamp","COV.x.x","COV.y.y","COV.x.y","location.long","location.lat"
"SG-003","2018-01-08 21:56:00",1.68925459977361,19.7274340286065,1.2764827352464,-122.219597050175,44.2250779085072
"SG-001","2018-01-09 21:12:00",764.692339749746,1.83510370018102,-7.41299629013329,-122.224320834307,44.2003044945689
"SG-001","2018-01-10 20:22:00",558.077031633311,579.732320681971,-252.122772189439,-122.226010654959,44.1917604176811
"SG-007","2018-01-11 20:09:00",9238.0054370045,23654.5354961039,-279.22875545627,-122.222804109753,44.2323121917153
"SG-001","2018-01-11 21:24:00",7.73494655047249,1.1143451585473,0.332873966179433,-122.226032130399,44.1994941656505
"SG-003","2018-01-12 22:21:00",60994.1259582907,46877.7991204774,-52166.6803247438,-122.267593144181,44.2392308005464
"SG-001","2018-01-13 21:02:00",101.495721786315,0.94834251937577,9.19994222036536,-122.222880658126,44.2001193586391
"SG-002","2018-01-14 21:27:00",1149.39837169374,900.863079330833,512.903964950432,-122.189054592234,44.2165163563206
"SG-003","2018-01-14 21:43:00",524.795215509697,1997.18897282692,-485.390537683381,-122.199606090831,44.2206577683569
"SG-002","2018-01-15 19:20:00",366.200883544634,95.8551292792255,54.962807431041,-122.180683867127,44.2131301291041
"SG-003","2018-01-15 19:38:00",937.81382796643,1522.14571506508,-417.187281689653,-122.197477206197,44.2216017045799
"SG-002","2018-01-15 19:44:00",1,1,0,-122.180115518512,44.2129592827774
"SG-005","2018-01-15 20:00:00",1647.40313964218,2402.68425061044,304.125126904841,-122.213517357286,44.2111030203245
"SG-002","2018-01-16 19:16:00",1,1,0,-122.175207970867,44.2103130410984
"SG-002","2018-01-16 20:09:00",9.25687077670237,0.355961448699942,0.261864766170621,-122.175369950759,44.2116282056723
"SG-005","2018-01-16 20:58:00",7.52207092391558,163.45612596898,0.912444372684118,-122.225005365475,44.2139975051195
"SG-003","2018-01-16 21:44:00",144.288266194914,310.280402550453,-27.7633878618357,-122.200687051819,44.2240689028482
"SG-001","2018-01-16 22:41:00",3.71375139429794,77.8715181922321,2.43700737969485,-122.227801355316,44.1986022911396
"SG-001","2018-01-17 19:46:00",419.458297957877,121.145595557151,197.864810886464,-122.236141835848,44.1982531904525
"SG-005","2018-01-17 21:11:00",113.203949870091,404.624728191975,-159.594919467248,-122.22578879027,44.2159907173605
